id_ep_referencia,titulo_referencia,fragmento_id_ref,id_ep_similar,titulo_similar,fragmento_id_sim,similaridade
ep111,El Mito de Taiwán (y el cambio de perspectiva),1,ep111,El Mito de Taiwán (y el cambio de perspectiva),15,0.7654790980855563
ep111,El Mito de Taiwán (y el cambio de perspectiva),1,ep111,El Mito de Taiwán (y el cambio de perspectiva),14,0.7372444291101765
ep111,El Mito de Taiwán (y el cambio de perspectiva),1,ep109,El amor es una distracción (Y quizás está bien),18,0.736019690978161
ep111,El Mito de Taiwán (y el cambio de perspectiva),2,ep111,El Mito de Taiwán (y el cambio de perspectiva),8,0.7910499498585475
ep111,El Mito de Taiwán (y el cambio de perspectiva),2,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,45,0.7672010273521047
ep111,El Mito de Taiwán (y el cambio de perspectiva),2,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,4,0.7616968815957696
ep111,El Mito de Taiwán (y el cambio de perspectiva),3,ep109,El amor es una distracción (Y quizás está bien),5,0.7426010091562787
ep111,El Mito de Taiwán (y el cambio de perspectiva),3,ep111,El Mito de Taiwán (y el cambio de perspectiva),7,0.7352615480428838
ep111,El Mito de Taiwán (y el cambio de perspectiva),3,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,10,0.7352151408234335
ep111,El Mito de Taiwán (y el cambio de perspectiva),4,ep109,El amor es una distracción (Y quizás está bien),8,0.7822236174371004
ep111,El Mito de Taiwán (y el cambio de perspectiva),4,ep109,El amor es una distracción (Y quizás está bien),16,0.7651192372402624
ep111,El Mito de Taiwán (y el cambio de perspectiva),4,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,4,0.7561733506869973
ep111,El Mito de Taiwán (y el cambio de perspectiva),5,ep109,El amor es una distracción (Y quizás está bien),10,0.7692225933711687
ep111,El Mito de Taiwán (y el cambio de perspectiva),5,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,0.7540580045545088
ep111,El Mito de Taiwán (y el cambio de perspectiva),5,ep109,El amor es una distracción (Y quizás está bien),16,0.7526652602913317
ep111,El Mito de Taiwán (y el cambio de perspectiva),6,ep109,El amor es una distracción (Y quizás está bien),16,0.7309547971097452
ep111,El Mito de Taiwán (y el cambio de perspectiva),6,ep109,El amor es una distracción (Y quizás está bien),7,0.7303589278768002
ep111,El Mito de Taiwán (y el cambio de perspectiva),6,ep111,El Mito de Taiwán (y el cambio de perspectiva),1,0.7296522160751371
ep111,El Mito de Taiwán (y el cambio de perspectiva),7,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,26,0.771289557894901
ep111,El Mito de Taiwán (y el cambio de perspectiva),7,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,36,0.7542393490825685
ep111,El Mito de Taiwán (y el cambio de perspectiva),7,ep111,El Mito de Taiwán (y el cambio de perspectiva),8,0.7529468191893112
ep111,El Mito de Taiwán (y el cambio de perspectiva),8,ep109,El amor es una distracción (Y quizás está bien),8,0.8018863181503971
ep111,El Mito de Taiwán (y el cambio de perspectiva),8,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,58,0.7948305575674798
ep111,El Mito de Taiwán (y el cambio de perspectiva),8,ep111,El Mito de Taiwán (y el cambio de perspectiva),2,0.7910499498585475
ep111,El Mito de Taiwán (y el cambio de perspectiva),9,ep109,El amor es una distracción (Y quizás está bien),8,0.7882308459260936
ep111,El Mito de Taiwán (y el cambio de perspectiva),9,ep109,El amor es una distracción (Y quizás está bien),16,0.7604697892538378
ep111,El Mito de Taiwán (y el cambio de perspectiva),9,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,59,0.755515710663585
ep111,El Mito de Taiwán (y el cambio de perspectiva),10,ep109,El amor es una distracción (Y quizás está bien),18,0.8266871372499077
ep111,El Mito de Taiwán (y el cambio de perspectiva),10,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,40,0.808158073783682
ep111,El Mito de Taiwán (y el cambio de perspectiva),10,ep111,El Mito de Taiwán (y el cambio de perspectiva),11,0.8076163890334801
ep111,El Mito de Taiwán (y el cambio de perspectiva),11,ep111,El Mito de Taiwán (y el cambio de perspectiva),15,0.8253105237623326
ep111,El Mito de Taiwán (y el cambio de perspectiva),11,ep111,El Mito de Taiwán (y el cambio de perspectiva),10,0.8076163890334801
ep111,El Mito de Taiwán (y el cambio de perspectiva),11,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,35,0.7938913816364972
ep111,El Mito de Taiwán (y el cambio de perspectiva),12,ep109,El amor es una distracción (Y quizás está bien),16,0.7688951081271627
ep111,El Mito de Taiwán (y el cambio de perspectiva),12,ep111,El Mito de Taiwán (y el cambio de perspectiva),13,0.7674204083078138
ep111,El Mito de Taiwán (y el cambio de perspectiva),12,ep111,El Mito de Taiwán (y el cambio de perspectiva),15,0.7670076492809653
ep111,El Mito de Taiwán (y el cambio de perspectiva),13,ep111,El Mito de Taiwán (y el cambio de perspectiva),11,0.791335617156737
ep111,El Mito de Taiwán (y el cambio de perspectiva),13,ep111,El Mito de Taiwán (y el cambio de perspectiva),15,0.7736932785790809
ep111,El Mito de Taiwán (y el cambio de perspectiva),13,ep111,El Mito de Taiwán (y el cambio de perspectiva),12,0.7674204083078138
ep111,El Mito de Taiwán (y el cambio de perspectiva),14,ep111,El Mito de Taiwán (y el cambio de perspectiva),16,0.7637776356815891
ep111,El Mito de Taiwán (y el cambio de perspectiva),14,ep111,El Mito de Taiwán (y el cambio de perspectiva),13,0.7537655345871447
ep111,El Mito de Taiwán (y el cambio de perspectiva),14,ep111,El Mito de Taiwán (y el cambio de perspectiva),1,0.7372444291101765
ep111,El Mito de Taiwán (y el cambio de perspectiva),15,ep111,El Mito de Taiwán (y el cambio de perspectiva),11,0.8253105237623326
ep111,El Mito de Taiwán (y el cambio de perspectiva),15,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,40,0.7990402772896089
ep111,El Mito de Taiwán (y el cambio de perspectiva),15,ep109,El amor es una distracción (Y quizás está bien),18,0.79306718875909
ep111,El Mito de Taiwán (y el cambio de perspectiva),16,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,0.7729789035466793
ep111,El Mito de Taiwán (y el cambio de perspectiva),16,ep111,El Mito de Taiwán (y el cambio de perspectiva),14,0.7637776356815891
ep111,El Mito de Taiwán (y el cambio de perspectiva),16,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,6,0.7536884179272014
ep111,El Mito de Taiwán (y el cambio de perspectiva),17,ep109,El amor es una distracción (Y quizás está bien),1,0.7688505242547264
ep111,El Mito de Taiwán (y el cambio de perspectiva),17,ep109,El amor es una distracción (Y quizás está bien),19,0.767446802638222
ep111,El Mito de Taiwán (y el cambio de perspectiva),17,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,1,0.7492599496049226
ep111,El Mito de Taiwán (y el cambio de perspectiva),18,ep109,El amor es una distracción (Y quizás está bien),19,0.7046008637963077
ep111,El Mito de Taiwán (y el cambio de perspectiva),18,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,65,0.6983787346265968
ep111,El Mito de Taiwán (y el cambio de perspectiva),18,ep111,El Mito de Taiwán (y el cambio de perspectiva),17,0.6920361394970049
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,1,ep109,El amor es una distracción (Y quizás está bien),4,0.795815172408236
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,1,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,0.7780465972844061
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,1,ep109,El amor es una distracción (Y quizás está bien),16,0.7740553363003623
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,2,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,3,0.7652793549742686
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,2,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,25,0.7268180789183386
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,2,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,49,0.7246242944092808
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,3,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,25,0.7959573143446743
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,3,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,27,0.785017483252422
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,3,ep109,El amor es una distracción (Y quizás está bien),16,0.779705937006517
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,4,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,55,0.771201566592217
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,4,ep109,El amor es una distracción (Y quizás está bien),10,0.7533759872597017
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,4,ep109,El amor es una distracción (Y quizás está bien),17,0.7505511986197037
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,5,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,44,0.7579841004109672
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,5,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,0.727984665842163
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,5,ep109,El amor es una distracción (Y quizás está bien),16,0.7123708386668598
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,6,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,0.7820852339944651
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,6,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,15,0.7746234246160576
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,6,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,25,0.7628397679416611
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,7,ep109,El amor es una distracción (Y quizás está bien),15,0.7580783950012644
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,7,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,8,0.7524648695846573
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,7,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,11,0.7460884447777061
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,8,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,11,0.7560417306906013
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,8,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,34,0.7556068068601159
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,8,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,7,0.7524648695846573
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,9,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,7,0.711550869895679
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,9,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,16,0.7011864937303297
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,9,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,25,0.7001125424791882
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,10,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,4,0.7649683181590325
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,10,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,33,0.7626097132404693
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,10,ep109,El amor es una distracción (Y quizás está bien),5,0.7553991723880306
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,11,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,55,0.763972516999939
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,11,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,16,0.7603454722627924
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,11,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,8,0.7560417306906013
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,12,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,7,0.7369072761575499
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,12,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,10,0.7234733583094173
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,12,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,4,0.7106154884763624
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,13,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,0.7560694999647994
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,13,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,14,0.755856406828289
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,13,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,3,0.7223299601570288
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,14,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,25,0.772692149337373
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,14,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,3,0.7714150430082265
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,14,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,55,0.764345235405718
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,15,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,35,0.8133664519957285
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,15,ep109,El amor es una distracción (Y quizás está bien),11,0.7770692423230824
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,15,ep109,El amor es una distracción (Y quizás está bien),19,0.7632862558635765
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,16,ep109,El amor es una distracción (Y quizás está bien),4,0.8278176394576318
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,16,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,0.8042954576636594
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,16,ep109,El amor es una distracción (Y quizás está bien),2,0.8042146666030003
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,ep109,El amor es una distracción (Y quizás está bien),10,0.8110350076852586
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,ep109,El amor es una distracción (Y quizás está bien),4,0.8091105709701932
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,16,0.8042954576636594
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,18,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,65,0.8543618778379373
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,18,ep109,El amor es una distracción (Y quizás está bien),19,0.8093307766942766
ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,18,ep109,El amor es una distracción (Y quizás está bien),11,0.7978632836967051
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,1,ep109,El amor es una distracción (Y quizás está bien),19,0.7732652512454082
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,1,ep111,El Mito de Taiwán (y el cambio de perspectiva),11,0.7720919629681765
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,1,ep111,El Mito de Taiwán (y el cambio de perspectiva),15,0.7653553988588283
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,2,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,60,0.795647040976776
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,2,ep109,El amor es una distracción (Y quizás está bien),16,0.7827593311156206
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,2,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,0.782626349609442
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,3,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,42,0.7000272240878943
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,3,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,21,0.6954205904734118
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,3,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,18,0.6922172096642861
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,4,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,27,0.8060339962789315
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,4,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,9,0.7911596387851528
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,4,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,42,0.7901174991162184
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,5,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,14,0.7496932205130261
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,5,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,27,0.7470038020207277
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,5,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,55,0.7450367150124347
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,6,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,27,0.7613993825769585
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,6,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,29,0.7612197323385973
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,6,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,31,0.7557101064624838
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,7,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,17,0.7856755592471539
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,7,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,9,0.7460842483067646
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,7,ep109,El amor es una distracción (Y quizás está bien),16,0.7329001747141645
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,8,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,9,0.7895086780975016
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,8,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,61,0.7750644836446696
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,8,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,42,0.7622396261185966
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,9,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,4,0.7911596387851528
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,9,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,8,0.7895086780975016
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,9,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,38,0.7789488220716106
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,10,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,11,0.8065744786877102
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,10,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,17,0.7173473863984774
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,10,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,9,0.7085787030723659
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,11,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,10,0.8065744786877102
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,11,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,4,0.7481112550863418
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,11,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,45,0.7295209219523207
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,12,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,59,0.8113015963560009
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,12,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,35,0.779286312393205
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,12,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,39,0.7553480430748262
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,13,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,46,0.7972336972153156
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,13,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,25,0.7787362832489532
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,13,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,42,0.7768496977447348
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,14,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,8,0.760276850694131
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,14,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,42,0.7567099086805978
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,14,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,29,0.7437161652831179
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,15,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,6,0.7746234246160576
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,15,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,17,0.7741758679413825
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,15,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,48,0.7713249748537749
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,16,ep112,Qué tal si...? El viaje de las posibilidades infinitas | Giovanni Stella,11,0.7603454722627924
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,16,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,47,0.7529422852163717
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,16,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,53,0.7468724900984741
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,17,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,7,0.7856755592471539
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,17,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,4,0.7753840435507537
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,17,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,9,0.7703974586323762
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,18,ep109,El amor es una distracción (Y quizás está bien),16,0.7720314106456654
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,18,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,25,0.7648477801923653
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,18,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,31,0.7644868563646512
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,19,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,25,0.727683973198416
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,19,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,27,0.7195898562651946
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,19,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,29,0.7114070217656557
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,20,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,25,0.7782970603122629
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,20,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,48,0.7569806020153327
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,20,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,34,0.7567670648945084
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,21,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,18,0.7382251797741838
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,21,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,22,0.7359757804469836
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,21,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,20,0.7330560459817631
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,22,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,23,0.7492685958436331
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,22,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,14,0.7396346788852122
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,22,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,21,0.7359757804469836
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,23,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,31,0.7795112916609434
ep110,De soñar con la NASA a romper el libreto | Aleja Henao,23,ep110,De soñar con la NASA a romper el libreto | Aleja Henao,34,0.772619381430753
